I, [2015-02-18T14:50:31.027841 #8283]  INFO -- Kitchen: -----> Starting Kitchen (v1.3.1)
E, [2015-02-18T14:50:31.028097 #8283] ERROR -- Kitchen: ------Exception-------
E, [2015-02-18T14:50:31.028130 #8283] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2015-02-18T14:50:31.028153 #8283] ERROR -- Kitchen: Message: Kitchen YAML file /Users/pbomars/learningchef/chap07/apache/recipes/.kitchen.yml does not exist.
E, [2015-02-18T14:50:31.028164 #8283] ERROR -- Kitchen: ------Backtrace-------
E, [2015-02-18T14:50:31.028185 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2015-02-18T14:50:31.028195 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/config.rb:139:in `data'
E, [2015-02-18T14:50:31.028215 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/config.rb:118:in `suites'
E, [2015-02-18T14:50:31.028225 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/config.rb:169:in `filter_instances'
E, [2015-02-18T14:50:31.028235 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/config.rb:128:in `build_instances'
E, [2015-02-18T14:50:31.028258 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/config.rb:104:in `instances'
E, [2015-02-18T14:50:31.028269 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2015-02-18T14:50:31.028289 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2015-02-18T14:50:31.028299 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/command/action.rb:38:in `block in call'
E, [2015-02-18T14:50:31.028318 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/rubies/ruby-2.2.0/lib/ruby/2.2.0/benchmark.rb:288:in `measure'
E, [2015-02-18T14:50:31.028328 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/command/action.rb:37:in `call'
E, [2015-02-18T14:50:31.028337 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/cli.rb:56:in `perform'
E, [2015-02-18T14:50:31.028347 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/cli.rb:161:in `block (2 levels) in <class:CLI>'
E, [2015-02-18T14:50:31.028357 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2015-02-18T14:50:31.028366 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2015-02-18T14:50:31.028376 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/cli.rb:304:in `invoke_task'
E, [2015-02-18T14:50:31.028402 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2015-02-18T14:50:31.028412 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2015-02-18T14:50:31.028422 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/bin/kitchen:13:in `block in <top (required)>'
E, [2015-02-18T14:50:31.028431 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2015-02-18T14:50:31.028441 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/bin/kitchen:13:in `<top (required)>'
E, [2015-02-18T14:50:31.028450 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/bin/kitchen:23:in `load'
E, [2015-02-18T14:50:31.028459 #8283] ERROR -- Kitchen: /Users/pbomars/.rvm/gems/ruby-2.2.0/bin/kitchen:23:in `<main>'
E, [2015-02-18T14:50:31.028468 #8283] ERROR -- Kitchen: ----------------------
